Model,Metric,Mean,Median,Std,Min,Max,Q25,Q75
BM25,P@10,0.10000000000000003,0.1,2.7755575615628914e-17,0.1,0.1,0.1,0.1
BM25,R@50,1.0,1.0,0.0,1.0,1.0,1.0,1.0
BM25,NDCG@10,0.8928526173809582,1.0,0.18007963356337756,0.5,1.0,0.8154648767857288,1.0
BM25,MRR,0.8555555555555555,1.0,0.24241582476968254,0.3333333333333333,1.0,0.75,1.0
Fuzzy,P@10,0.09333333333333335,0.1,0.024944382578492942,0.0,0.1,0.1,0.1
Fuzzy,R@50,0.9333333333333333,1.0,0.24944382578492946,0.0,1.0,1.0,1.0
Fuzzy,NDCG@10,0.8876976584523819,1.0,0.29205149045534295,0.0,1.0,1.0,1.0
Fuzzy,MRR,0.875,1.0,0.3195048252113469,0.0,1.0,1.0,1.0
Semantic,P@10,0.08,0.1,0.04000000000000001,0.0,0.1,0.1,0.1
Semantic,R@50,0.9333333333333333,1.0,0.24944382578492946,0.0,1.0,1.0,1.0
Semantic,NDCG@10,0.679502404347754,1.0,0.39206923222323453,0.0,1.0,0.46533827903669656,1.0
Semantic,MRR,0.6436274509803922,1.0,0.4051639864953926,0.0,1.0,0.29166666666666663,1.0
Hybrid,P@10,0.10000000000000003,0.1,2.7755575615628914e-17,0.1,0.1,0.1,0.1
Hybrid,R@50,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Hybrid,NDCG@10,0.9063461893650832,1.0,0.19753558233821766,0.3333333333333333,1.0,1.0,1.0
Hybrid,MRR,0.8761904761904762,1.0,0.2588129188895465,0.14285714285714285,1.0,1.0,1.0
